,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
6928,55,Kirk Lane,Geoffrey,Freeman,21,Grandson,Single,Male,University Student,None,Christian
6929,55,Kirk Lane,Guy,Freeman,19,Grandson,Single,Male,University Student,None,Christian
6930,55,Kirk Lane,Wendy,Kaur,17,Granddaughter,NA,Female,Student,None,NA
6931,55,Kirk Lane,Adam,Kaur,14,Grandson,NA,Male,Student,None,NA
6932,56,Kirk Lane,Joanne,Smith,43,Head,Single,Female,Land,None,None
6933,56,Kirk Lane,Lynn,Read,28,None,Single,Female,Forensic psychologist,None,None
6934,56,Kirk Lane,Dennis,Fuller,59,None,Divorced,Male,Speech and language therapist,None,Catholic
6935,56,Kirk Lane,Francesca,Carr,37,None,Single,Female,Operations geologist,None,None
6936,56,Kirk Lane,Francesca,Walker,21,None,Single,Female,University Student,None,Methodist
6937,57,Kirk Lane,Lisa,Bird,30,Head,Divorced,Female,Unemployed,None,None
6938,57,Kirk Lane,Brenda,Bird,8,Daughter,NA,Female,Student,None,NA
6939,58,Kirk Lane,Dylan,Wilson,58,Head,Married,Male,Medical laboratory scientific officer,None,Christian
6940,58,Kirk Lane,Margaret,Wilson,55,Wife,Married,Female,Clinical psychologist,None,Christian
6941,59,Kirk Lane,Carolyn,Todd,49,Head,Married,Female,Nature conservation officer,None,None
6942,59,Kirk Lane,Glenn,Todd,50,Husband,Married,Male,IT technical support officer,None,None
6943,59,Kirk Lane,Pamela,Lowe-Todd,27,Daughter,Single,Female,Paramedic,None,None
6944,59,Kirk Lane,Catherine,Lowe-Todd,25,Daughter,Single,Female,Research scientist (maths),None,None
6945,1,Bath Lane,David,Marshall,45,Head,Single,Male,Unemployed,None,Catholic
6946,1,Bath Lane,Clare,Bruce,34,None,Single,Female,Unemployed,None,None
6947,2,Bath Lane,Rosie,Davis,30,Head,Single,Female,Insurance account manager,None,None
6948,3,Bath Lane,Jade,Murphy,45,Head,Married,Female,"Engineer, biomedical",None,Catholic
6949,3,Bath Lane,Stewart,Murphy,45,Husband,Married,Male,Biomedical engineer,NA,Catholic
6950,3,Bath Lane,Malcolm,Murphy,9,Son,NA,Male,Student,None,NA
6951,4,Bath Lane,Chelsea,Cook,51,Head,Single,Female,Adult nurse,None,Christian
6952,4,Bath Lane,Abdul,Dixon,53,Partner,Single,Male,IT trainer,None,Christian
6953,4,Bath Lane,Jason,Cook,23,Son,Single,Male,"Engineer, structural",None,Christian
6954,4,Bath Lane,Damian,Cook,6,Son,NA,Male,Student,None,NA
6955,5,Bath Lane,Deborah,Smith,46,Head,Single,Female,Unemployed,None,None
6956,5,Bath Lane,Zoe,Smith,11,Daughter,NA,Female,Student,None,NA
6957,5,Bath Lane,Natalie,Smith,9,Daughter,NA,Female,Student,None,NA
6958,6,Bath Lane,Jemma,Ahmed,26,Head,Single,Female,Unemployed,None,None
6959,6,Bath Lane,Heather,Ahmed,2,Daughter,NA,Female,Child,None,NA
6960,6,Bath Lane,Barbara,Stone,57,Lodger,Single,Female,Architectural technologist,None,Christian
6961,6,Bath Lane,Sheila,Norton,47,Sibling,Single,Female,Community development worker,None,Christian
6962,6,Bath Lane,Jane,Jones,30,Lodger,Single,Female,"Research officer, government",None,Catholic
6963,7,Bath Lane,Cheryl,Dixon,35,Head,Single,NA,Therapeutic radiographer,None,None
6964,7,Bath Lane,Martin,Dixon,9,Son,NA,Male,Student,None,NA
6965,7,Bath Lane,Rebecca,Mason,6,Daughter,NA,Female,Student,None,NA
6966,7,Bath Lane,Iain,Mason,3,Son,NA,Male,Child,None,NA
6967,8,Bath Lane,Liam,Martin,31,Head,Divorced,Male,Associate Professor,None,None
6968,8,Bath Lane,Jake,Patel,18,Lodger,Divorced,Male,Student,None,NA
6969,8,Bath Lane,Adam,Marshall,39,Lodger,Single,Male,Clinical cytogeneticist,None,Catholic
6970,9,Bath Lane,Francesca,Yates,33,Head,Divorced,Female,Unemployed,None,Muslim
6971,9,Bath Lane,Rebecca,Yates,4,Daughter,NA,Female,Child,None,NA
6972,9,Bath Lane,Eleanor,Yates,0,Daughter,NA,Female,Child,None,NA
6973,10,Bath Lane,Kate,Taylor,43,Head,Married,Female,Clinical psychologist,None,None
6974,10,Bath Lane,Benjamin,Taylor,45,Husband,Married,Male,Unemployed,None,None
6975,10,Bath Lane,Jessica,Taylor,17,Daughter,NA,Female,Student,None,NA
6976,11,Bath Lane,Sheila,Sharp,35,Head,Married,Female,"Investment banker, operational",None,Christian
6977,11,Bath Lane,Lewis,Sharp,37,Husband,Married,Male,Research scientist (physical sciences),None,Christian
6978,11,Bath Lane,Valerie,Perry,31,Lodger,Single,Female,Ship broker,None,Christian
6979,12,Bath Lane,Paula,Buckley,74,Head,Widowed,Female,Retired Clinical psychologist,None,Christian
6980,12,Bath Lane,Melissa,Buckley,31,Daughter,Single,Female,Facilities manager,None,None
6981,12,Bath Lane,Simon,Buckley,29,Son,Single,Male,Microbiologist,None,Christian
6982,1,Lime Junction,Lynne,Williams,43,Head,Married,Female,Lexicographer,None,None
6983,1,Lime Junction,Joseph,Williams,45,Husband,Married,Male,"Journalist, broadcasting",None,None
6984,1,Lime Junction,Abbie,Williams,21,Daughter,Divorced,Female,University Student,None,None
6985,1,Lime Junction,Scott,Williams-Williams,14,Son,NA,Male,Student,None,NA
6986,1,Lime Junction,Leon,Williams-Williams,10,Son,NA,Male,Student,None,NA
6987,2,Lime Junction,Bethan,Morris,37,Head,Divorced,Female,Public affairs consultant,None,None
6988,3,Lime Junction,Marilyn,Bailey,29,Head,Single,Female,"Psychologist, forensic",None,Sikh
6989,3,Lime Junction,Kenneth,Hale,28,Partner,Single,Male,Economist,None,Sikh
6990,3,Lime Junction,Carole,Bailey,4,Daughter,NA,Female,Child,None,NA
6991,4,Lime Junction,Zoe,Burns,21,Head,Single,Female,University Student,None,Christian
6992,4,Lime Junction,Toby,Davies,20,Partner,Single,Male,University Student,None,Christian
6993,5,Lime Junction,Josephine,Norton,43,Head,Single,Female,Chief of Staff,None,Christian
6994,5,Lime Junction,Ian,Quinn,47,Partner,Single,Male,"Lighting technician, broadcasting/film/video",None,Christian
6995,5,Lime Junction,Sally,Lee-Norton,18,Daughter,Single,Female,Student,None,Christian
6996,5,Lime Junction,Joanne,Lee-Norton,15,Daughter,NA,Female,Student,None,NA
6997,5,Lime Junction,Victoria,Lee-Norton,14,Adopted Daughter,NA,Female,Student,None,NA
6998,6,Lime Junction,Bethan,Doyle,43,Head,Married,Female,"Surveyor, minerals",None,Christian
6999,6,Lime Junction,Hugh,Doyle,46,Husband,Married,Male,Media buyer,None,Christian
7000,6,Lime Junction,Daniel,Phillips-Doyle,17,Son,NA,male,Student,None,NA
7001,7,Lime Junction,Luke,Short,44,Head,Single,Male,"Surveyor, hydrographic",None,None
7002,7,Lime Junction,Jeremy,Short,10,Son,NA,male,Student,None,NA
7003,8,Lime Junction,Diane,Craig,36,Head,Single,Female,"Accountant, chartered management",None,Muslim
7004,8,Lime Junction,Joan,Craig,12,Daughter,NA,Female,Student,None,NA
7005,9,Lime Junction,Chloe,Kirk,38,Head,Single,Female,"Surveyor, hydrographic",None,None
7006,10,Lime Junction,Debra,Bell,76,Head,Married,Female,Retired Investment analyst,NA,Christian
7007,10,Lime Junction,Ryan,Bell,78,Husband,Married,Male,Retired Volunteer coordinator,None,Christian
7008,1,Oakpart Lane,Terry,Jones,41,Head,Married,Male,Web designer,None,Christian
7009,1,Oakpart Lane,Shirley,Jones,35,Wife,Married,Female,"Pharmacist, community",None,Christian
7010,2,Oakpart Lane,Georgia,Powell,56,Head,Single,Female,Dramatherapist,None,Christian
7011,2,Oakpart Lane,Amanda,Blake,64,None,Single,Female,Financial trader,None,None
7012,2,Oakpart Lane,Elliott,Waters,18,None,Single,Male,Student,None,NA
7013,2,Oakpart Lane,Clifford,Hope,48,None,Single,Male,Unemployed,None,Christian
7014,3,Oakpart Lane,Stacey,Smith,37,Head,Married,Female,Water engineer,None,Methodist
7015,3,Oakpart Lane,Dale,Smith,39,Husband,Married,Male,Haematologist,None,None
7016,4,Oakpart Lane,Mathew,Woodward,51,Head,Single,Male,Microbiologist,None,Methodist
7017,5,Oakpart Lane,Christine,Rees,43,Head,Divorced,Female,Risk analyst,None,Methodist
7018,5,Oakpart Lane,Barry,Rees,9,Son,NA,Male,Student,None,NA
7019,5,Oakpart Lane,Kayleigh,Rees,6,Daughter,NA,Female,Student,None,NA
7020,5,Oakpart Lane,Charlene,Rees,4,Daughter,NA,Female,Child,None,NA
7021,5,Oakpart Lane,Toby,Rees,0,Son,NA,Male,Child,None,NA
7022,6,Oakpart Lane,Vanessa,Williams,39,Head,Widowed,Female,"Solicitor, Scotland",None,None
7023,6,Oakpart Lane,Anna,Williams,12,Daughter,NA,Female,Student,None,NA
7024,7,Oakpart Lane,Abbie,Armstrong,64,Head,Divorced,Female,Technical brewer,None,Christian
7025,7,Oakpart Lane,Ryan,Armstrong,29,Son,Single,Male,Broadcast presenter,None,Christian
7026,8,Oakpart Lane,Dominic,Jackson,42,Head,Divorced,Male,Private music teacher,None,None
7027,9,Oakpart Lane,Francesca,McDonald,28,Head,Married,Female,Television production assistant,None,Christian
7028,9,Oakpart Lane,Francis,NA,32,Husband,Married,Male,Technical author,None,Christian
7029,9,Oakpart Lane,Mary,McDonald,3,Daughter,NA,Female,Child,None,NA
7030,9,Oakpart Lane,Raymond,McDonald,0,Son,NA,Male,Child,None,NA
7031,10,Oakpart Lane,Ronald,Hudson,53,Head,Married,Male,"Education officer, environmental",None,Christian
7032,10,Oakpart Lane,Donna,Hudson,51,Wife,Married,Female,Charity officer,NA,None
7033,11,Oakpart Lane,Valerie,Johnson,28,Head,Married,Female,"Engineer, drilling",None,None
7034,11,Oakpart Lane,Maurice,Johnson,27,Husband,Married,Male,Biomedical engineer,None,None
7035,12,Oakpart Lane,Lee,Akhtar,70,Head,Married,Male,Retired Patent attorney,None,Catholic
7036,12,Oakpart Lane,Rita,Akhtar,68,Wife,Married,Female,"Retired Scientist, forensic",None,None
7037,13,Oakpart Lane,Katie,Wells,69,Head,Single,Female,Retired Investment analyst,None,Christian
7038,13,Oakpart Lane,Sylvia,Wells,41,Daughter,Divorced,Female,Chartered loss adjuster,None,None
7039,14,Oakpart Lane,Alan,Dawson-Hill,48,Head,Married,Male,Fine artist,None,Christian
7040,14,Oakpart Lane,Georgina,Dawson-Hill-Wood,48,Wife,Married,Female,Pension scheme manager,None,Christian
7041,14,NA,Nathan,Dawson-Hill-Wood,15,Son,NA,Male,Student,None,NA
7042,15,Oakpart Lane,Duncan,Collins,45,Head,Single,Male,Unemployed,None,None
7043,16,Oakpart Lane,Hayley,Watson,37,Head,Single,Female,IT technical support officer,None,Catholic
7044,16,Oakpart Lane,Terence,Watson,5,Son,NA,Male,Student,None,NA
7045,16,Oakpart Lane,Anne,Watson,3,Daughter,NA,Female,Child,None,NA
7046,17,Oakpart Lane,Kim,Conway,66,Head,Married,Female,"Teacher, special educational needs",None,Christian
7047,17,Oakpart Lane,George,Conway,65,Husband,Married,m,Unemployed,None,Christian
7048,18,Oakpart Lane,Jayne,Jones,65,Head,Widowed,Female,Unemployed,None,Christian
7049,19,Oakpart Lane,Pauline,Wallis,43,Head,Single,Female,Production engineer,None,None
7050,19,NA,Frank,Wallis,15,Son,NA,Male,Student,None,NA
7051,19,Oakpart Lane,Nathan,Wallis,12,Son,NA,Male,Student,None,NA
7052,19,Oakpart Lane,Karen,Wallis,8,Daughter,NA,Female,Student,None,NA
7053,19,Oakpart Lane,Rachael,Wallis,5,Daughter,NA,Female,Student,None,NA
7054,20,Oakpart Lane,Glen,Bailey,52,Head,Married,Male,Television floor manager,None,Methodist
7055,20,Oakpart Lane,Pamela,Bailey-Lees,46,Wife,Married,Female,Transport planner,None,None
7056,20,Oakpart Lane,Sara,Smith,5,Granddaughter,NA,Female,Student,None,NA
7057,20,Oakpart Lane,Alison,Smith,2,Granddaughter,NA,Female,Child,None,NA
7058,20,Oakpart Lane,Ann,Brown,37,Lodger,Single,Female,Diplomatic Services operational officer,None,None
7059,21,Oakpart Lane,Elizabeth,Woodward,68,Head,Married,Female,Retired Sport and exercise psychologist,None,None
7060,21,Oakpart Lane,Bradley,Woodward,70,Husband,Married,Male,Retired Forest/woodland manager,None,None
7061,22,Oakpart Lane,Marie,Hunter,48,Head,Divorced,Female,"Horticulturist, commercial",None,None
7062,22,Oakpart Lane,Max,Hunter,28,Son,Single,Male,"Pharmacist, hospital",None,None
7063,22,Oakpart Lane,Trevor,Hunter,25,Son,Divorced,Male,Manufacturing engineer,None,None
7064,22,Oakpart Lane,Charlotte,Hunter,21,Daughter,Divorced,Female,Science writer,None,None
7065,22,Oakpart Lane,Jade,Hunter,20,Daughter,Single,Female,University Student,None,None
7066,23,Oakpart Lane,Harriet,Howard,53,Head,Married,Female,"Librarian, academic",None,Catholic
7067,23,Oakpart Lane,Marc,Howard,55,Husband,Married,Male,Manufacturing engineer,None,Catholic
7068,24,Oakpart Lane,Denise,Powell,43,Head,Single,Female,"Accountant, chartered management",None,None
7069,25,Oakpart Lane,Denis,Dickinson,78,Head,Widowed,Male,"Retired Engineer, materials",None,None
7070,25,Oakpart Lane,Carly,Dickinson,49,Daughter,Single,Female,Technical author,None,None
7071,26,Oakpart Lane,Christian,Walters,55,Head,Single,Male,"Programme researcher, broadcasting/film/video",None,Christian
7072,26,Oakpart Lane,Heather,Carter,52,Partner,Single,Female,TEFL teacher,None,None
7073,27,Oakpart Lane,Norman,Brown,43,Head,Married,Male,"Lighting technician, broadcasting/film/video",None,None
7074,27,Oakpart Lane,Kathleen,Brown,40,Wife,Married,Female,Police officer,None,None
7075,1,Mann Street,Ruth,Hayes,41,Head,Single,Female,Database administrator,None,Catholic
7076,1,Mann Street,Norman,Hayes,11,Son,NA,Male,Student,None,NA
7077,1,Mann Street,Wayne,Hayes,8,Son,NA,Male,Student,None,NA
7078,1,Mann Street,Jeffrey,Hayes,4,Son,NA,Male,Child,None,NA
7079,1,Mann Street,Marc,Hayes,1,Son,NA,Male,Child,None,NA
7080,2,Mann Street,Helen,Holmes,27,Head,Divorced,Female,Transport planner,None,Christian
7081,2,Mann Street,Sophie,Walker,25,Lodger,Single,Female,Estate manager/land agent,None,None
7082,2,Mann Street,Lynne,O'Neill,54,Lodger,Single,Female,Telecommunications researcher,None,Catholic
7083,2,Mann Street,Brenda,Richardson,61,Sibling,Single,Female,Facilities manager,None,None
7084,2,Mann Street,Sheila,Baxter,37,Lodger,Single,Female,Occupational therapist,None,None
7085,3,Mann Street,Samantha,Joyce,39,Head,Single,Female,Unemployed,None,Christian
7086,3,Mann Street,Amelia,Joyce,4,Daughter,NA,Female,Child,None,NA
7087,3,Mann Street,Janet,Joyce,1,Daughter,NA,Female,Child,None,NA
7088,4,Mann Street,Alison,Yates,72,Head,Widowed,Female,Retired Energy manager,None,Christian
7089,5,Mann Street,Brett,Chambers,33,Head,Single,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
7090,5,Mann Street,Shannon,Stokes,43,None,Single,Female,Clinical research associate,None,Methodist
7091,5,Mann Street,Lisa,Jones,48,None,Single,Female,Radio broadcast assistant,None,None
7092,6,Mann Street,Chelsea,Davies,44,NA,Married,Female,Interpreter,None,None
7093,6,Mann Street,Luke,Davies,44,Husband,Married,Male,Neurosurgeon,None,None
7094,6,Mann Street,Ronald,Davies,11,Son,NA,Male,Student,None,NA
7095,6,Mann Street,Douglas,Davies,8,Son,NA,Male,Student,None,NA
7096,7,Mann Street,Mathew,Thompson,76,Head,Married,Male,Retired Air cabin crew,None,Christian
7097,7,Mann Street,Linda,Thompson,73,Wife,Married,Female,Retired Nature conservation officer,None,Christian
7098,7,Mann Street,Benjamin,Thompson,23,Grandson,Single,Male,Office manager,None,Christian
7099,7,Mann Street,Mohammad,Cook,22,Grandson,Widowed,Male,University Student,None,Christian
7100,8,Mann Street,Paula,Greenwood,51,Head,Married,Female,Unemployed,None,Christian
7101,8,Mann Street,Sam,Greenwood,53,Husband,Married,Male,Unemployed,None,Christian
7102,8,Mann Street,Leonard,Greenwood,32,Son,Single,Male,"Therapist, nutritional",None,Christian
7103,9,Mann Street,Barbara,Smith,44,Head,Single,Female,Arts development officer,None,Christian
7104,9,Mann Street,Rosemary,Smith,15,Daughter,NA,Female,Student,None,NA
7105,9,Mann Street,Carl,Smith,12,Son,NA,Male,Student,None,NA
7106,9,Mann Street,Lorraine,Smith,10,Daughter,NA,Female,Student,None,NA
7107,10,Mann Street,Jeffrey,French,20,Head,Single,Male,University Student,None,Muslim
7108,10,Mann Street,Kelly,Walker,18,None,Single,Female,University Student,None,Catholic
7109,10,Mann Street,Luke,Smith,21,None,Single,Male,University Student,None,None
7110,10,Mann Street,Lynn,Sykes,22,None,Single,Female,University Student,None,Catholic
7111,10,Mann Street,Josh,Jones,20,None,Single,Male,University Student,None,None
7112,11,Mann Street,Marian,Clarke,48,Head,Married,Female,Sports development officer,None,Catholic
7113,11,Mann Street,Robin,Clarke,52,Husband,Married,Male,"Physicist, medical",None,None
7114,11,Mann Street,Anna,Clarke,17,NA,NA,Female,Student,None,NA
7115,12,Mann Street,Marilyn,Smith,47,NA,Married,Female,"Scientist, research (maths)",None,None
7116,12,Mann Street,Richard,Smith,50,Husband,Married,Male,Press sub,None,None
7117,12,Mann Street,Lauren,Smith,16,Daughter,NA,Female,Student,None,NA
7118,12,Mann Street,Elaine,Smith,12,Daughter,NA,Female,Student,None,NA
7119,12,Mann Street,Toby,Smith,9,Son,NA,Male,Student,None,NA
7120,12,Mann Street,Louis,Smith,6,Son,NA,Male,Student,None,NA
7121,13,Mann Street,Rosie,Walsh,39,Head,Married,Female,Herpetologist,None,None
7122,13,Mann Street,Aaron,Walsh,43,Husband,Married,Male,Investment analyst,None,None
7123,13,Mann Street,Andrew,Walsh,17,Son,NA,Male,Student,None,NA
7124,13,Mann Street,Bruce,Steele-Walsh,13,Son,NA,Male,Student,None,NA
7125,14,Mann Street,Bradley,Graham,42,Head,Married,Male,Unemployed,None,None
7126,14,Mann Street,Rosemary,Graham,40,Wife,Married,Female,Public house manager,None,None
7127,14,Mann Street,Marian,Graham,9,Daughter,NA,Female,Student,None,NA
7128,14,Mann Street,Joanna,Graham,7,Daughter,NA,Female,Student,None,NA
7129,14,Mann Street,Josh,Graham,4,Son,NA,Male,Child,None,NA
7130,15,Mann Street,Beverley,Woods,48,Head,Married,Female,Company secretary,None,None
7131,15,Mann Street,Keith,Woods,53,Husband,Married,Male,Unemployed,None,None
7132,15,Mann Street,Diane,Woods,12,Daughter,NA,Female,Student,None,NA
7133,16,Mann Street,Rita,Bond,64,Head,Married,Female,"Editor, film/video",None,Methodist
7134,16,Mann Street,Glen,Bond,66,Husband,Married,Male,"Designer, interior/spatial",None,Methodist
7135,16,Mann Street,Amy,Bond,26,Daughter,Divorced,Female,Air broker,None,Methodist
7136,16,Mann Street,Gordon,Bond,19,Son,Single,Male,University Student,None,None
7137,17,Mann Street,Emma,Henderson,69,Head,Married,F,Retired Civil Service administrator,None,Christian
7138,17,Mann Street,Darren,Henderson,69,Husband,Married,Male,Retired Tax inspector,None,Christian
7139,17,Mann Street,William,Henderson,33,Son,Divorced,Male,Special effects artist,None,Christian
7140,17,Mann Street,Samantha,Henderson,32,Daughter,Single,Female,"Geologist, engineering",None,None
7141,18,Mann Street,Barry,Mahmood,50,Head,Divorced,Male,"Accountant, chartered management",None,None
7142,18,Mann Street,Gordon,Gibbs,42,None,Single,Male,Adult guidance worker,None,None
7143,18,Mann Street,Victor,Stevens,36,None,Single,Male,"Therapist, drama",None,None
7144,18,Mann Street,Dorothy,Thompson,64,None,Single,Female,"Research officer, government",None,Christian
7145,18,Mann Street,Ann,McKenzie,33,None,Single,Female,Chartered certified accountant,None,None
7146,19,NA,Francesca,Brown,32,Head,Widowed,Female,Chartered loss adjuster,None,Christian
7147,19,Mann Street,Malcolm,Brown,4,Son,NA,Male,Child,None,NA
7148,19,Mann Street,Colin,Brown,1,Son,NA,Male,Child,None,NA
7149,19,Mann Street,Carl,Davies,19,Lodger,Single,Male,University Student,None,None
7150,19,Mann Street,Henry,Little,49,Lodger,Divorced,m,Passenger transport manager,None,None
7151,20,Mann Street,Diane,Green,26,Head,Single,Female,"Psychologist, clinical",None,Methodist
7152,20,Mann Street,Stanley,Harper,28,Partner,Single,Male,Chiropractor,None,None
7153,20,Mann Street,Bethany,Green,9,Daughter,NA,Female,Student,None,NA
7154,21,Mann Street,Valerie,Webster,43,Head,Single,Female,Psychotherapist,None,Christian
7155,21,Mann Street,Mohammad,Webster,14,Son,NA,Male,Student,None,NA
7156,21,Mann Street,Marian,Webster,11,Daughter,NA,Female,Student,None,NA
7157,21,Mann Street,Lynne,NA,8,Daughter,NA,Female,Student,None,NA
7158,21,Mann Street,Patrick,Webster,6,Son,NA,Male,Student,None,NA
7159,22,Mann Street,Brandon,Reynolds,44,Head,Single,Male,Visual merchandiser,None,NA
7160,22,Mann Street,Nicola,Reynolds,15,Daughter,NA,Female,Student,None,NA
7161,22,Mann Street,Mohammad,Reynolds,13,Son,NA,Male,Student,None,NA
7162,23,Mann Street,Chelsea,Johnson,48,Head,Single,Female,Operations geologist,None,Catholic
7163,23,Mann Street,Terence,Holmes,50,Partner,Single,m,Commercial/residential surveyor,None,Catholic
7164,23,Mann Street,George,Johnson,15,Son,NA,Male,Student,None,NA
7165,24,Mann Street,Claire,Richardson,50,Head,Married,Female,Astronomer,None,Christian
7166,24,Mann Street,Elliott,Richardson,52,Husband,Married,Male,Plant breeder/geneticist,None,Christian
7167,24,Mann Street,Kirsty,Richardson,24,Daughter,Single,Female,Interior and spatial designer,None,Christian
7168,24,Mann Street,Lesley,Richardson,22,Daughter,Single,Female,University Student,None,None
7169,24,Mann Street,Yvonne,Richardson,NA,Adopted Daughter,Single,Female,University Student,None,None
7170,25,Mann Street,Debra,Dale,40,Head,Married,Female,Art gallery manager,None,Christian
7171,25,Mann Street,Christian,Dale-Khan,42,Husband,Married,Male,"Engineer, chemical",None,None
7172,25,Mann Street,Georgia,Dale-Khan,4,Daughter,NA,Female,Child,None,NA
7173,25,Mann Street,Josh,Norman-Dale-Khan,0,Son,NA,Male,Child,None,NA
7174,26,Mann Street,Samantha,Bishop,63,Head,Married,Female,Data scientist,None,Methodist
7175,26,Mann Street,Russell,Bishop,65,Husband,Married,Male,"Pharmacist, hospital",None,Methodist
7176,26,Mann Street,Roger,Bishop,37,NA,Single,Male,Unemployed,None,None
7177,26,Mann Street,Ross,Bishop,37,Son,Single,Male,Bonds trader,None,None
7178,26,Mann Street,Roy,Bishop,30,Son,Single,Male,Conference centre manager,None,Methodist
7179,27,Mann Street,Lindsey,Phillips,61,Head,Divorced,Female,Network engineer,None,Christian
7180,27,Mann Street,Toby,Phillips,21,Son,Divorced,Male,University Student,None,Christian
7181,27,Mann Street,Matthew,Phillips,10,Son,NA,Male,Student,None,NA
7182,28,Mann Street,Stacey,Gray,40,Head,Divorced,Female,Unemployed,None,None
7183,28,Mann Street,Bryan,Gray,10,Son,NA,Male,Student,None,NA
7184,NA,Mann Street,Amelia,Clayton,22,Head,Widowed,Female,Unemployed,None,Sikh
7185,29,Mann Street,Lesley,Taylor,25,Lodger,Single,Female,Animal technologist,None,None
7186,30,Mann Street,Joan,Savage,48,Head,Divorced,Female,Occupational psychologist,None,Catholic
7187,30,Mann Street,Carolyn,Savage,28,Daughter,Single,Female,"Scientist, audiological",None,Catholic
7188,31,Mann Street,Pamela,Marsh,47,Head,Divorced,f,Unemployed,None,Methodist
7189,31,Mann Street,Ruth,Marsh,7,Daughter,NA,Female,Student,None,NA
7190,31,Mann Street,Lynn,Marsh,5,Daughter,NA,Female,Student,None,NA
7191,32,Mann Street,Fiona,Shah,35,Head,Divorced,Female,Systems analyst,None,Christian
7192,32,Mann Street,Margaret,Shah,14,Daughter,NA,Female,Student,None,NA
7193,32,Mann Street,Andrew,Shah,11,Son,NA,Male,Student,None,NA
7194,32,Mann Street,Patrick,Shah,9,Son,NA,Male,Student,None,NA
7195,33,Mann Street,Graeme,Chapman,53,Head,Married,Male,"Administrator, arts",None,None
7196,33,Mann Street,Fiona,Chapman,52,Wife,NA,Female,Community arts worker,None,None
7197,33,Mann Street,Melissa,Chapman,5,Granddaughter,NA,Female,Student,None,NA
7198,33,Mann Street,Phillip,Chapman,2,Grandson,NA,Male,Child,None,NA
7199,33,Mann Street,Terence,Byrne,50,Lodger,Single,Male,"Teacher, special educational needs",None,None
7200,34,Mann Street,Elizabeth,Smith,37,Head,Married,Female,Field trials officer,None,Methodist
7201,34,Mann Street,Gerald,Smith,38,Husband,Married,Male,Plant breeder/geneticist,None,None
7202,34,Mann Street,Olivia,Smith,13,Daughter,NA,Female,Student,None,NA
7203,34,Mann Street,Deborah,Smith,9,Daughter,NA,Female,Student,None,NA
7204,34,Mann Street,Guy,Smith,6,Son,NA,Male,Student,None,NA
7205,35,Mann Street,Jane,Barker,28,Head,Single,Female,Unemployed,None,None
7206,36,Mann Street,Brian,Stephens,28,Head,Married,Male,Site engineer,None,Methodist
7207,36,Mann Street,Jessica,Stephens,29,Wife,Married,Female,Osteopath,None,None
7208,36,Mann Street,Paula,Stephens,9,Daughter,NA,Female,Student,None,NA
7209,36,Mann Street,Donna,Stephens,2,Daughter,NA,Female,Child,None,NA
7210,36,Mann Street,Chelsea,Stephens,1,Daughter,NA,Female,Child,None,NA
7211,37,Mann Street,Kathryn,Brookes,42,Head,Divorced,Female,Unemployed,None,Catholic
7212,37,Mann Street,Douglas,Brookes,3,Son,NA,Male,Child,None,NA
7213,37,Mann Street,Ricky,Brookes,0,Son,NA,Male,Child,None,NA
7214,38,Mann Street,Abdul,Jones,37,Head,Divorced,Male,"Geologist, wellsite",None,None
7215,38,Mann Street,Brenda,Jones,5,Daughter,NA,Female,Student,None,NA
7216,38,Mann Street,Gail,Jones,3,Daughter,NA,Female,Child,None,NA
7217,38,Mann Street,Raymond,Kelly,41,Lodger,Divorced,Male,Police officer,None,Catholic
7218,38,Mann Street,Jemma,Walker,35,Sibling,Divorced,Female,Heritage manager,None,None
7219,39,Mann Street,Angela,Chambers,31,Head,Single,Female,Unemployed,None,None
7220,39,Mann Street,Jemma,Chambers,4,Daughter,NA,Female,Child,None,NA
7221,39,Mann Street,Eleanor,Chambers,4,Daughter,NA,Female,Child,None,NA
7222,40,Mann Street,Diane,Sinclair,34,Head,Single,Female,Unemployed,None,None
7223,40,Mann Street,Diane,Sinclair,7,Daughter,NA,Female,Student,None,NA
7224,41,Mann Street,Joanne,Begum,73,Head,Married,Female,Retired Camera operator,None,Christian
7225,41,Mann Street,Kevin,Begum,76,Husband,Married,Male,"Retired Accountant, chartered management",None,None
7226,41,Mann Street,Irene,Begum,39,Daughter,Single,Female,Product manager,None,None
7227,41,Mann Street,Rachel,Begum,35,Daughter,Single,Female,Public librarian,None,Christian
7228,42,Mann Street,Julie,Pope,77,Head,Married,Female,"Retired Surveyor, quantity",None,Christian
7229,42,Mann Street,Leslie,Pope,85,Husband,Married,Male,Retired Public relations officer,None,Christian
7230,42,Mann Street,Jean,Pope,42,Daughter,Single,Female,Tree surgeon,None,Christian
7231,43,Mann Street,Andrea,Walker,33,Head,Married,Female,Field seismologist,None,None
7232,43,Mann Street,Charles,Walker,33,Husband,Married,Male,"Geologist, engineering",None,None
7233,43,Mann Street,Callum,Walker,3,Son,NA,Male,Child,None,NA
7234,44,Mann Street,Natasha,Noble,38,Head,Single,Female,Unemployed,None,Catholic
7235,44,Mann Street,Maureen,Powell,59,None,Single,Female,"Conservation officer, historic buildings",None,Christian
7236,44,Mann Street,Kenneth,Newman,51,None,Single,Male,Tourist information centre manager,None,Christian
